164,Matthew Carle,TBL,D,17,1,8,9,+6,6,1,0,0,0,20,5.0,22:22,27.9,0.0
165,Matt Niskanen,PIT,D,17,1,8,9,+7,13,1,0,1,0,28,3.6,19:48,23.6,0.0
166,Kevin Bieksa,VAN,D,20,0,9,9,+9,14,0,0,0,0,39,0.0,22:44,26.8,0.0
167,Vincent Lecavalier,PHI,C,12,6,2,8,-7,15,3,0,1,0,29,20.7,16:35,20.7,39.1
168,Vladimir Tarasenko,STL,R,15,5,3,8,+4,0,2,0,0,0,26,19.2,14:35,20.5,0.0
169,Boyd Gordon,EDM,C,19,4,4,8,-8,4,1,0,0,0,26,15.4,15:32,27.4,59.0
170,Aleksander Barkov,FLA,C,18,4,4,8,-4,2,3,0,1,0,23,17.4,16:19,21.9,46.3
171,Josh Bailey,NYI,L,18,4,4,8,-2,2,0,0,1,0,27,14.8,15:34,18.8,40.0
172,Derek Roy,STL,C,15,4,4,8,-1,8,1,0,1,0,26,15.4,13:33,18.3,52.0
173,Brent Burns,SJS,R,8,4,4,8,+9,8,0,0,1,0,27,14.8,15:37,26.0,48.3
174,Carl Hagelin,NYR,L,7,4,4,8,+7,8,0,0,2,0,14,28.6,16:12,23.4,0.0
175,Alexander Semin,CAR,R,17,3,5,8,-4,12,2,0,0,0,48,6.3,20:17,24.5,0.0
176,Jonathan Huberdeau,FLA,C,18,3,5,8,-4,8,1,0,0,0,26,11.5,17:51,22.7,0.0
177,Rich Peverley,DAL,C,16,3,5,8,+2,2,0,0,1,1,34,8.8,17:51,23.8,59.5
178,Brayden Schenn,PHI,C,16,3,5,8,-5,22,1,0,1,0,29,10.3,16:01,19.0,39.8
179,Craig Smith,NSH,C,17,3,5,8,-7,4,1,0,1,1,50,6.0,14:56,19.4,0.0
180,Tobias Enstrom,WPG,D,19,2,6,8,+2,14,0,0,0,0,22,9.1,23:20,27.1,0.0
181,Kris Russell,CGY,D,17,2,6,8,+1,4,0,0,1,1,33,6.1,23:12,30.4,0.0
182,Nick Leddy,CHI,D,18,2,6,8,+7,2,1,0,0,0,23,8.7,16:30,21.2,0.0
183,Ryan Malone,TBL,L,17,2,6,8,+3,30,0,0,0,0,36,5.6,14:38,19.4,100.0
184,Michael Grabner,NYI,R,16,2,6,8,-1,6,0,0,0,0,31,6.5,14:33,19.9,50.0
185,Vladimir Sobotka,STL,C,15,2,6,8,+1,16,0,0,0,0,29,6.9,15:19,22.1,65.8
186,Chris Kreider,NYR,L,10,2,6,8,+3,6,1,0,0,0,24,8.3,17:44,22.4,0.0
187,Claude Giroux,PHI,C,16,1,7,8,-9,10,0,0,1,0,35,2.9,22:15,27.3,50.5
188,Ray Whitney,DAL,L,17,1,7,8,-3,6,0,0,0,0,35,2.9,17:09,21.7,100.0
189,Jake Muzzin,LAK,D,12,1,7,8,-3,12,0,0,0,0,21,4.8,17:11,25.4,0.0
190,Jason Demers,SJS,D,17,0,8,8,+6,8,0,0,0,0,23,0.0,18:54,24.3,0.0
191,Adam Henrique,NJD,C,17,5,2,7,+2,2,1,1,1,0,25,20.0,18:20,24.8,41.8
192,Marcel Goc,FLA,C,18,5,2,7,-8,21,0,0,1,0,23,21.7,16:36,23.3,51.2
193,Michael Ryder,NJD,R,17,5,2,7,-5,8,3,0,0,0,27,18.5,16:41,21.1,16.7
194,Brad Boyes,FLA,R,17,5,2,7,-2,4,1,0,0,0,35,14.3,14:39,18.4,11.1
195,Ryan Callahan,NYR,R,9,5,2,7,+0,2,3,0,0,0,21,23.8,18:11,23.8,33.3
196,Shea Weber,NSH,D,17,4,3,7,-8,16,3,0,0,0,35,11.4,26:31,31.2,0.0
197,Nathan Gerbe,CAR,L,17,4,3,7,-5,16,2,0,1,0,54,7.4,18:07,23.5,50.0
198,Tyler Johnson,TBL,C,17,4,3,7,-3,0,2,0,1,0,41,9.8,16:38,22.9,51.6
199,Artem Anisimov,CBJ,C,16,4,3,7,-4,4,0,1,0,0,33,12.1,17:34,21.7,51.3
200,Cam Atkinson,CBJ,R,16,4,3,7,-3,2,1,0,1,0,56,7.1,16:43,20.0,0.0
201,Rob Klinkhammer,PHX,C,18,4,3,7,+11,6,0,0,1,0,29,13.8,12:41,18.0,50.0
202,Damien Brunner,NJD,R,16,4,3,7,-7,10,2,0,0,0,43,9.3,14:15,19.5,0.0
203,Emerson Etem,ANA,R,16,4,3,7,+3,2,1,1,1,0,23,17.4,12:28,17.1,0.0
204,Jesse Winchester,FLA,C,16,4,3,7,+0,25,0,0,0,0,32,12.5,12:01,18.8,46.3
205,Jakob Silfverberg,ANA,R,11,4,3,7,+5,6,0,0,0,0,35,11.4,14:33,20.3,50.0
206,Brenden Dillon,DAL,D,17,3,4,7,+3,17,0,1,0,0,26,11.5,20:55,25.2,0.0
207,Dustin Brown,LAK,R,17,3,4,7,+5,10,1,0,0,0,45,6.7,16:56,22.9,28.6
208,Derick Brassard,NYR,C,17,3,4,7,-3,4,1,0,2,1,24,12.5,15:50,21.2,46.8
209,Pierre-Marc Bouchard,NYI,C,17,3,4,7,-3,6,1,0,0,0,29,10.3,14:05,18.2,0.0
210,Teemu Selanne,ANA,R,14,3,4,7,+0,0,1,0,1,0,35,8.6,14:38,18.1,51.7
211,Patrik Elias,NJD,L,10,3,4,7,+2,4,0,1,0,0,27,11.1,18:56,25.4,43.4
212,Brandon Pirri,CHI,C,13,3,4,7,+4,2,1,0,0,0,16,18.8,11:51,15.8,43.9
213,Seth Jones,NSH,D,17,2,5,7,-5,4,1,0,1,0,26,7.7,24:40,29.2,0.0
214,Dion Phaneuf,TOR,D,17,2,5,7,+9,16,0,0,0,0,24,8.3,24:18,29.8,0.0
215,Andrej Sekera,CAR,D,17,2,5,7,-8,8,1,0,0,0,29,6.9,23:25,28.5,0.0
216,Victor Hedman,TBL,D,17,2,5,7,+0,15,0,0,1,0,25,8.0,20:55,26.4,0.0
217,Erik Johnson,COL,D,16,2,5,7,+10,18,1,0,0,0,24,8.3,20:56,26.6,0.0
218,Kris Versteeg,FLA,R,17,2,5,7,-8,9,0,0,0,0,47,4.3,15:56,21.0,50.0
219,Marcus Kruger,CHI,C,18,2,5,7,+4,10,0,0,0,0,15,13.3,13:48,21.6,52.6
220,Mike Fisher,NSH,C,11,2,5,7,-2,23,0,0,0,0,23,8.7,17:07,22.5,48.3
221,Justin Schultz,EDM,D,14,1,6,7,-10,4,0,0,0,0,20,5.0,22:01,24.5,0.0
222,Ryan Stanton,VAN,D,20,1,6,7,+3,13,0,0,0,0,22,4.5,13:54,18.8,0.0
223,Steve Downie,"COL, PHI",R,12,1,6,7,+3,53,1,0,1,0,28,3.6,16:11,19.8,0.0
224,Devante Smith-Pelly,ANA,R,10,1,6,7,+8,0,0,0,0,0,10,10.0,12:55,17.4,0.0
225,Christopher Tanev,VAN,D,20,0,7,7,+4,4,0,0,0,0,18,0.0,19:10,26.7,0.0
226,Raphael Diaz,MTL,D,18,0,7,7,+3,6,0,0,0,0,17,0.0,20:44,27.9,0.0
227,Andre Benoit,COL,D,16,0,7,7,+1,0,0,0,0,0,25,0.0,20:53,27.1,0.0
228,David Moss,PHX,R,18,0,7,7,+6,2,0,0,0,0,36,0.0,15:31,23.4,55.0
229,Richard Panik,TBL,R,16,0,7,7,-8,8,0,0,0,0,13,0.0,14:19,18.8,33.3
